"Node_Id:ID(Node)",":LABEL","name","tokens","documentation","Project"
"0","Project","AndResGuard","AndResGuard","None"
"750","Field","v","None","None"
"751","Method","writeByte","public void writeByte(int v) throws IOException {
    // TODO Auto-generated method stub
    this.mDelegate.writeByte(v);
  }","None"
"752","Field","v","None","None"
"753","Method","writeShort","public void writeShort(int v) throws IOException {
    // TODO Auto-generated method stub
    this.mDelegate.writeShort(v);
  }","None"
"754","Field","v","None","None"
"755","Method","writeChar","public void writeChar(int v) throws IOException {
    // TODO Auto-generated method stub
    this.mDelegate.writeChar(v);
  }","None"
"756","Field","v","None","None"
"757","Method","writeInt","public void writeInt(int v) throws IOException {
    // TODO Auto-generated method stub
    this.mDelegate.writeInt(v);
  }","None"
"758","Field","v","None","None"
"759","Method","writeLong","public void writeLong(long v) throws IOException {
    // TODO Auto-generated method stub
    this.mDelegate.writeLong(v);
  }","None"
"760","Field","v","None","None"
"761","Method","writeFloat","public void writeFloat(float v) throws IOException {
    // TODO Auto-generated method stub
    this.mDelegate.writeFloat(v);
  }","None"
"762","Field","v","None","None"
"763","Method","writeDouble","public void writeDouble(double v) throws IOException {
    // TODO Auto-generated method stub
    this.mDelegate.writeDouble(v);
  }","None"
"764","Field","v","None","None"
"765","Method","writeBytes","public void writeBytes(String s) throws IOException {
    // TODO Auto-generated method stub
    this.mDelegate.writeBytes(s);
  }","None"
"766","Field","s","None","None"
"767","Method","writeChars","public void writeChars(String s) throws IOException {
    // TODO Auto-generated method stub
    this.mDelegate.writeChars(s);
  }","None"
"768","Field","s","None","None"
"769","Method","writeUTF","public void writeUTF(String s) throws IOException {
    // TODO Auto-generated method stub
    this.mDelegate.writeUTF(s);
  }","None"
"770","Field","s","None","None"
"771","Class","TypedValue","TypedValue","Container for a dynamically typed data value. Primarily used with"
"772","Field","UNZIP_FILE_PATH","None","None"
"773","Field","COMMAND_7ZIP","None","None"
"774","Field","COMMAND_ZIPALIGIN","None","None"
"775","Field","OUT_7ZIP_FILE_PATH","None","None"
"776","Field","STORED_FILE_PATH","None","7zip，"
"777","Field","RES_FILE_PATH","None","None"
"778","Field","RES_MAPPING_FILE","None","None"
"779","Field","MERGE_DUPLICATED_RES_MAPPING_FILE","None","None"
"780","Field","ZIP_STORED","None","None"
"781","Field","ZIP_DEFLATED","None","None"
"782","Field","JDK_6","None","None"
"783","Field","TXT_FILE","None","None"
"784","Field","XML_FILE","None","None"
"785","Field","CONFIG_FILE","None","None"
"786","Field","TYPE_NULL","None","The value contains no data"
"787","Field","TYPE_STRING","None","None"
"788","Class","ExtDataOutput","ExtDataOutput","None"
"789","Field","delegate","None","None"
"790","Field","array","None","None"
"791","Field","length","None","None"
"792","Field","in","None","None"
"793","Field","length","None","None"
"794","Field","data","None","None"
"795","Field","value","None","None"
"796","Field","expected","None","None"
"797","Field","reader","None","None"
"798","Field","expected","None","None"
"799","Field","possible","None","None"
"800","Field","value","None","None"
"801","Field","value","None","None"
"802","Field","expected","None","None"
"803","Field","value","None","None"
"804","Field","expected","None","None"
"805","Method","writeIntArray","public void writeIntArray(int[] array) throws IOException {
    int length = array.length;
    for (int i = 0; i < length; i++) {
      writeInt(array[i]);
    }
  }","None"
"806","Field","array","None","None"
"807","Field","length","None","None"
"808","Method","writeBytes","public void writeBytes(ExtDataInput in, int length) throws IOException {
    byte[] data = new byte[length];
    in.readFully(data);
    write(data);
  }","None"
"809","Field","in","None","None"
"810","Field","length","None","None"
"811","Field","data","None","None"
"812","Method","writeCheckInt","public void writeCheckInt(int value, int expected) throws IOException {
    writeInt(value);
    if (value != expected) {
      throw new IOException(String.format(""Expected: 0x%08x, got: 0x%08x"", expected, value));
    }
  }","None"
"813","Field","value","None","None"
"814","Field","expected","None","None"
"815","Method","writeCheckChunkTypeInt","public void writeCheckChunkTypeInt(ExtDataInput reader, int expected, int possible) throws IOException {
    int value = reader.readInt();
    writeInt(value);
    if (value == possible) {
      writeCheckChunkTypeInt(reader, expected, -1);
    } else if (value != expected) {
      throw new IOException(String.format(""Expected: 0x%08x, got: 0x%08x"", expected, value));
    }
  }","None"
"816","Field","reader","None","None"
"817","Field","expected","None","None"
"818","Field","possible","None","None"
"819","Field","value","None","None"
"820","Method","writeCheckShort","public void writeCheckShort(short value, short expected) throws IOException {
    writeShort(value);
    if (value != expected) {
      throw new IOException(String.format(""Expected: 0x%08x, got: 0x%08x"", expected, value));
    }
  }","None"
"821","Field","value","None","None"
"822","Field","expected","None","None"
"823","Method","writeCheckByte","public void writeCheckByte(byte value, byte expected) throws IOException {
    writeByte(value);
    if (value != expected) {
      throw new IOException(String.format(""Expected: 0x%08x, got: 0x%08x"", expected, value));
    }
  }","None"
"824","Field","value","None","None"
"825","Field","expected","None","None"
"826","Class","FileOperation","FileOperation","None"
"827","Field","BUFFER","None","None"
"828","Field","filePath","None","None"
"829","Field","file","None","None"
"830","Field","filePath","None","None"
"831","Field","file","None","None"
"832","Field","f","None","None"
"833","Field","size","None","None"
"834","Field","flist","None","None"
"835","Field","f","None","None"
"836","Field","size","None","None"
"837","Field","fis","None","None"
"838","Field","file","None","None"
"839","Field","files","None","None"
"840","Field","source","None","None"
"841","Field","dest","None","None"
"842","Field","is","None","None"
"843","Field","os","None","None"
"844","Field","parent","None","None"
"845","Field","buffer","None","None"
"846","Field","length","None","None"
"847","Field","dir","None","None"
"848","Field","dirObj","None","None"
"849","Field","dir","None","None"
"850","Field","file","None","None"
"851","Field","fileName","None","None"
"852","Field","filePath","None","None"
"853","Field","zipFile","None","None"
"854","Field","emu","None","None"
"855","Field","compress","None","None"
"856","Field","entry","None","None"
"857","Field","bis","None","None"
"858","Field","file","None","None"
"859","Field","parent","None","None"
"860","Field","compatibaleresult","None","None"
"861","Field","fos","None","None"
"862","Field","bos","None","None"
"863","Field","buf","None","None"
"864","Field","len","None","None"
"865","Field","resFileList","None","None"
"866","Field","baseFolder","None","None"
"867","Field","zipFile","None","None"
"868","Field","compressData","None","None"
"869","Field","zipOut","None","None"
"870","Field","relativePath","None","None"
"871","Field","resFile","None","None"
"872","Field","zipout","None","None"
"873","Field","rootpath","None","None"
"874","Field","compressData","None","None"
"875","Field","fileList","None","None"
"876","Field","fileContents","None","None"
"877","Field","compressMethod","None","None"
"878","Field","entry","None","None"
"879","Field","checksumCalculator","None","None"
"880","Field","file","None","None"
"881","Field","output","None","None"
"882","Field","bufferSize","None","None"
"883","Field","in","None","None"
"884","Field","bIn","None","None"
"885","Field","length","None","None"
"886","Field","buffer","None","None"
"887","Field","bufferCopy","None","None"
"888","Method","fileExists","public static boolean fileExists(String filePath) {
    if (filePath == null) {
      return false;
    }

    File file = new File(filePath);
    if (file.exists()) return true;
    return false;
  }","None"
"889","Field","filePath","None","None"
"890","Field","file","None","None"
"891","Method","deleteFile","public static boolean deleteFile(String filePath) {
    if (filePath == null) {
      return true;
    }

    File file = new File(filePath);
    if (file.exists()) {
      return file.delete();
    }
    return true;
  }","None"
"892","Field","filePath","None","None"
"893","Field","file","None","None"
"894","Method","getlist","public static long getlist(File f) {
    if (f == null || (!f.exists())) {
      return 0;
    }
    if (!f.isDirectory()) {
      return 1;
    }
    long size;
    File flist[] = f.listFiles();
    size = flist.length;
    for (int i = 0; i < flist.length; i++) {
      if (flist[i].isDirectory()) {
        size = size + getlist(flist[i]);
        size--;
      }
    }
    return size;
  }","None"
"895","Field","f","None","None"
"896","Field","size","None","None"
"897","Field","flist","None","None"
"898","Method","getFileSizes","public static long getFileSizes(File f) {
    long size = 0;
    if (f.exists() && f.isFile()) {
      FileInputStream fis = null;
      try {
        fis = new FileInputStream(f);
        size = fis.available();
      } catch (IOException e) {
        e.printStackTrace();
      } finally {
        try {
          if (fis != null) {
            fis.close();
          }
        } catch (IOException e) {
          e.printStackTrace();
        }
      }
    }
    return size;
  }","None"
"899","Field","f","None","None"
"900","Field","size","None","None"
"901","Field","fis","None","None"
"902","Method","deleteDir","public static boolean deleteDir(File file) {
    if (file == null || (!file.exists())) {
      return false;
    }
    if (file.isFile()) {
      file.delete();
    } else if (file.isDirectory()) {
      File files[] = file.listFiles();
      for (int i = 0; i < files.length; i++) {
        deleteDir(files[i]);
      }
    }
    file.delete();
    return true;
  }","None"
"903","Field","file","None","None"
"904","Field","files","None","None"
"905","Method","copyFileUsingStream","public static void copyFileUsingStream(File source, File dest) throws IOException {
    FileInputStream is = null;
    FileOutputStream os = null;
    File parent = dest.getParentFile();
    if (parent != null && (!parent.exists())) {
      parent.mkdirs();
    }
    try {
      is = new FileInputStream(source);
      os = new FileOutputStream(dest, false);

      byte[] buffer = new byte[BUFFER];
      int length;
      while ((length = is.read(buffer)) > 0) {
        os.write(buffer, 0, length);
      }
    } finally {
      if (is != null) {
        is.close();
      }
      if (os != null) {
        os.close();
      }
    }
  }","None"
"906","Field","source","None","None"
"907","Field","dest","None","None"
"908","Field","is","None","None"
"909","Field","os","None","None"
"910","Field","parent","None","None"
"911","Field","buffer","None","None"
"912","Field","length","None","None"
"913","Method","checkDirectory","public static boolean checkDirectory(String dir) {
    File dirObj = new File(dir);
    deleteDir(dirObj);

    if (!dirObj.exists()) {
      dirObj.mkdirs();
    }
    return true;
  }","None"
"914","Field","dir","None","None"
"915","Field","dirObj","None","None"
"916","Method","checkFile","public static File checkFile(String dir) {
    deleteFile(dir);
    File file = new File(dir);
    try {
      file.createNewFile();
    } catch (IOException e) {
      // TODO Auto-generated catch block
      e.printStackTrace();
    }
    return file;
  }","None"
"917","Field","dir","None","None"
"918","Field","file","None","None"
"919","Method","unZipAPk","public static HashMap<String, Integer> unZipAPk(String fileName, String filePath) throws IOException {
    checkDirectory(filePath);
    ZipFile zipFile = new ZipFile(fileName);
    Enumeration emu = zipFile.entries();
    HashMap<String, Integer> compress = new HashMap<>();
    try {
      while (emu.hasMoreElements()) {
        ZipEntry entry = (ZipEntry) emu.nextElement();
        if (entry.isDirectory()) {
          new File(filePath, entry.getName()).mkdirs();
          continue;
        }
        BufferedInputStream bis = new BufferedInputStream(zipFile.getInputStream(entry));

        File file = new File(filePath + File.separator + entry.getName());

        File parent = file.getParentFile();
        if (parent != null && (!parent.exists())) {
          parent.mkdirs();
        }
        //要用linux的斜杠
        String compatibaleresult = entry.getName();
        if (compatibaleresult.contains(""\\"")) {
          compatibaleresult = compatibaleresult.replace(""\\"", ""/"");
        }
        compress.put(compatibaleresult, entry.getMethod());
        FileOutputStream fos = new FileOutputStream(file);
        BufferedOutputStream bos = new BufferedOutputStream(fos, BUFFER);

        byte[] buf = new byte[BUFFER];
        int len;
        while ((len = bis.read(buf, 0, BUFFER)) != -1) {
          fos.write(buf, 0, len);
        }
        bos.flush();
        bos.close();
        bis.close();
      }
    } finally {
      zipFile.close();
    }
    return compress;
  }","None"
"920","Field","fileName","None","None"
"921","Field","filePath","None","None"
"922","Field","zipFile","None","None"
"923","Field","emu","None","None"
"924","Field","compress","None","None"
"925","Field","entry","None","None"
"926","Field","bis","None","None"
"927","Field","file","None","None"
"928","Field","parent","None","None"
"929","Field","compatibaleresult","None","None"
"930","Field","fos","None","None"
"931","Field","bos","None","None"
"932","Field","buf","None","None"
"933","Field","len","None","None"
"934","Method","zipFiles","public static void zipFiles(
      Collection<File> resFileList, File baseFolder, File zipFile, HashMap<String, Integer> compressData)
      throws IOException {
    ZipOutputStream zipOut = new ZipOutputStream(new BufferedOutputStream(new FileOutputStream(zipFile), BUFFER));
    for (File resFile : resFileList) {
      if (resFile.exists()) {
        if (resFile.getAbsolutePath().contains(baseFolder.getAbsolutePath())) {
          String relativePath = baseFolder.toURI().relativize(resFile.getParentFile().toURI()).getPath();
          // remove slash at end of relativePath
          if (relativePath.length() > 1) {
            relativePath = relativePath.substring(0, relativePath.length() - 1);
          } else {
            relativePath = """";
          }
          zipFile(resFile, zipOut, relativePath, compressData);
        } else {
          zipFile(resFile, zipOut, """", compressData);
        }
      }
    }
    zipOut.close();
  }","zip list of file"
"935","Field","resFileList","None","None"
"936","Field","baseFolder","None","None"
"937","Field","zipFile","None","None"
"938","Field","compressData","None","None"
"939","Field","zipOut","None","None"
"940","Field","relativePath","None","None"
"941","Method","zipFile","private static void zipFile(
      File resFile, ZipOutputStream zipout, String rootpath, HashMap<String, Integer> compressData) throws IOException {
    rootpath = rootpath + (rootpath.trim().length() == 0 ? """" : File.separator) + resFile.getName();
    if (resFile.isDirectory()) {
      File[] fileList = resFile.listFiles();
      for (File file : fileList) {
        zipFile(file, zipout, rootpath, compressData);
      }
    } else {
      final byte[] fileContents = readContents(resFile);
      //这里需要强转成linux格式，果然坑！！
      if (rootpath.contains(""\\"")) {
        rootpath = rootpath.replace(""\\"", ""/"");
      }
      if (!compressData.containsKey(rootpath)) {
        System.err.printf(String.format(""do not have the compress data path =%s in resource.asrc\n"", rootpath));
        //throw new IOException(String.format(""do not have the compress data path=%s"", rootpath));
        return;
      }
      int compressMethod = compressData.get(rootpath);
      ZipEntry entry = new ZipEntry(rootpath);

      if (compressMethod == ZipEntry.DEFLATED) {
        entry.setMethod(ZipEntry.DEFLATED);
      } else {
        entry.setMethod(ZipEntry.STORED);
        entry.setSize(fileContents.length);
        final CRC32 checksumCalculator = new CRC32();
        checksumCalculator.update(fileContents);
        entry.setCrc(checksumCalculator.getValue());
      }
      zipout.putNextEntry(entry);
      zipout.write(fileContents);
      zipout.flush();
      zipout.closeEntry();
    }
  }","None"
"942","Field","resFile","None","None"
"943","Field","zipout","None","None"
"944","Field","rootpath","None","None"
"945","Field","compressData","None","None"
"946","Field","fileList","None","None"
"947","Field","fileContents","None","None"
"948","Field","compressMethod","None","None"
"949","Field","entry","None","None"
"950","Field","checksumCalculator","None","None"
"951","Method","readContents","private static byte[] readContents(final File file) throws IOException {
    final ByteArrayOutputStream output = new ByteArrayOutputStream();
    final int bufferSize = 4096;
    try {
      final FileInputStream in = new FileInputStream(file);
      final BufferedInputStream bIn = new BufferedInputStream(in);
      int length;
      byte[] buffer = new byte[bufferSize];
      byte[] bufferCopy;
      while ((length = bIn.read(buffer, 0, bufferSize)) != -1) {
        bufferCopy = new byte[length];
        System.arraycopy(buffer, 0, bufferCopy, 0, length);
        output.write(bufferCopy);
      }
      bIn.close();
    } finally {
      output.close();
    }
    return output.toByteArray();
  }","None"
"952","Field","file","None","None"
"953","Field","output","None","None"
"954","Field","bufferSize","None","None"
"955","Field","in","None","None"
"956","Field","bIn","None","None"
"957","Field","length","None","None"
"958","Field","buffer","None","None"
"959","Field","bufferCopy","None","None"
"960","Class","Utils","Utils","None"
"961","Field","str","None","None"
"962","Field","str","None","None"
"963","Field","iterator","None","None"
"964","Field","iterator","None","None"
"965","Field","input","None","None"
"966","Field","searchList","None","None"
"967","Field","replacementList","None","None"
"968","Field","str","None","None"
"969","Field","patterns","None","None"
"970","Field","isMatch","None","None"
"971","Field","dir","None","None"
"972","Field","cmd","None","None"
"973","Field","output","None","None"
"974","Field","process","None","None"
"975","Field","argv","None","None"
"976","Field","process","None","None"
"977","Field","output","None","None"
"978","Field","process","None","None"
"979","Field","ir","None","None"
"980","Field","input","None","None"
"981","Field","text","None","None"
"982","Field","searchList","None","None"
"983","Field","replacementList","None","None"
"984","Field","tracker","None","None"
"985","Field","buf","None","None"
"986","Field","start","None","None"
"987","Field","matchInfo","None","None"
"988","Field","textIndex","None","None"
"989","Field","pattern","None","None"
"990","Field","replacement","None","None"
"991","Field","text","None","None"
"992","Field","patternToReplacement","None","None"
"993","Field","pendingPatterns","None","None"
"994","Field","matchInfo","None","None"
"995","Field","text","None","None"
"996","Field","searchList","None","None"
"997","Field","replacementList","None","None"
"998","Field","pattern","None","None"
"999","Field","start","None","None"
"1000","Field","textIndex","None","None"
"1001","Field","nextPattern","None","None"
"1002","Field","matchIndex","None","None"
"1003","Field","pattern","None","None"
"1004","Field","replacement","None","None"
"1005","Field","textIndex","None","None"
"1006","Field","pattern","None","None"
"1007","Field","replacement","None","None"
"1008","Field","textIndex","None","None"
"1009","Method","isPresent","public static boolean isPresent(String str) {
    return str != null && str.length() > 0;
  }","None"
"1010","Field","str","None","None"
"1011","Method","isBlank","public static boolean isBlank(String str) {
    return !isPresent(str);
  }","None"
"1012","Field","str","None","None"
"1013","Method","isPresent","public static boolean isPresent(Iterator iterator) {
    return iterator != null && iterator.hasNext();
  }","None"
"1014","Field","iterator","None","None"
"1015","Method","isBlank","public static boolean isBlank(Iterator iterator) {
    return !isPresent(iterator);
  }","None"
"1016","Field","iterator","None","None"
"1017","Method","convertToPatternString","public static String convertToPatternString(String input) {
    // ?	Zero or one character
    // *	Zero or more of character
    // +	One or more of character
    final String[] searchList = new String[] { ""."", ""?"", ""*"", ""+"" };
    final String[] replacementList = new String[] { ""\\."", "".?"", "".*"", "".+"" };
    return replaceEach(input, searchList, replacementList);
  }","None"
"1018","Field","input","None","None"
"1019","Field","searchList","None","None"
"1020","Field","replacementList","None","None"
"1021","Method","match","public static boolean match(String str, HashSet<Pattern> patterns) {
    if (patterns == null) {
      return false;
    }
    for(Pattern p : patterns) {
      Boolean isMatch = p.matcher(str).matches();
      if (isMatch) return true;
    }
    return false;
  }","None"
"1022","Field","str","None","None"
"1023","Field","patterns","None","None"
"1024","Field","isMatch","None","None"
"1025","Method","cleanDir","public static void cleanDir(File dir) {
    if (dir.exists()) {
      FileOperation.deleteDir(dir);
      dir.mkdirs();
    }
  }","None"
"1026","Field","dir","None","None"
"1027","Method","runCmd","public static String runCmd(String... cmd) throws IOException, InterruptedException {
    String output;
    Process process = null;
    try {
      process = new ProcessBuilder(cmd).start();
      output = StringUtil.readInputStream(process.getInputStream());
      process.waitFor();
      if (process.exitValue() != 0) {
        System.err.println(String.format(""%s Failed! Please check your signature file.\n"", cmd[0]));
        throw new RuntimeException(StringUtil.readInputStream(process.getErrorStream()));
      }
    } finally {
      if (process != null) {
        process.destroy();
      }
    }
    return output;
  }","None"
"1028","Field","cmd","None","None"
"1029","Field","output","None","None"
"1030","Field","process","None","None"
"1031","Method","runExec","public static String runExec(String[] argv) throws IOException, InterruptedException {
    Process process = null;
    String output;
    try {
      process = Runtime.getRuntime().exec(argv);
      output = StringUtil.readInputStream(process.getInputStream());
      process.waitFor();
      if (process.exitValue() != 0) {
        System.err.println(String.format(""%s Failed! Please check your signature file.\n"", argv[0]));
        throw new RuntimeException(StringUtil.readInputStream(process.getErrorStream()));
      }
    } finally {
      if (process != null) {
        process.destroy();
      }
    }
    return output;
  }","None"
"1032","Field","argv","None","None"
"1033","Field","process","None","None"
"1034","Field","output","None","None"
"1035","Method","processOutputStreamInThread","private static void processOutputStreamInThread(Process process) throws IOException {
    InputStreamReader ir = new InputStreamReader(process.getInputStream());
    LineNumberReader input = new LineNumberReader(ir);
    //如果不读会有问题，被阻塞
    while (input.readLine() != null) {
    }
  }","None"
"1036","Field","process","None","None"
"1037","Field","ir","None","None"
"1038","Field","input","None","None"
"1039","Method","replaceEach","private static String replaceEach(String text, String[] searchList, String[] replacementList) {
    // TODO: throw new IllegalArgumentException() if any param doesn't make sense
    //validateParams(text, searchList, replacementList);

    SearchTracker tracker = new SearchTracker(text, searchList, replacementList);
    if (!tracker.hasNextMatch(0)) {
      return text;
    }

    StringBuilder buf = new StringBuilder(text.length() * 2);
    int start = 0;

    do {
      SearchTracker.MatchInfo matchInfo = tracker.matchInfo;
      int textIndex = matchInfo.textIndex;
      String pattern = matchInfo.pattern;
      String replacement = matchInfo.replacement;

      buf.append(text.substring(start, textIndex));
      buf.append(replacement);

      start = textIndex + pattern.length();
    } while (tracker.hasNextMatch(start));

    return buf.append(text.substring(start)).toString();
  }","None"
"1040","Field","text","None","None"
"1041","Field","searchList","None","None"
"1042","Field","replacementList","None","None"
"1043","Field","tracker","None","None"
"1044","Field","buf","None","None"
"1045","Field","start","None","None"
"1046","Field","matchInfo","None","None"
"1047","Field","textIndex","None","None"
"1048","Field","pattern","None","None"
"1049","Field","replacement","None","None"
"1050","Class","SearchTracker","SearchTracker","None"
"1051","Field","text","None","None"
"1052","Field","patternToReplacement","None","None"
"1053","Field","pendingPatterns","None","None"
"1054","Field","matchInfo","None","None"
"1055","Field","text","None","None"
"1056","Field","searchList","None","None"
"1057","Field","replacementList","None","None"
"1058","Field","pattern","None","None"
"1059","Field","start","None","None"
"1060","Field","textIndex","None","None"
"1061","Field","nextPattern","None","None"
"1062","Field","matchIndex","None","None"
"1063","Field","pattern","None","None"
"1064","Field","replacement","None","None"
"1065","Field","textIndex","None","None"
"1066","Field","pattern","None","None"
"1067","Field","replacement","None","None"
"1068","Field","textIndex","None","None"
"1069","Method","hasNextMatch","boolean hasNextMatch(int start) {
      int textIndex = -1;
      String nextPattern = null;

      for (String pattern : new ArrayList<>(pendingPatterns)) {
        int matchIndex = text.indexOf(pattern, start);
        if (matchIndex == -1) {
          pendingPatterns.remove(pattern);
        } else {
          if (textIndex == -1 || matchIndex < textIndex) {
            textIndex = matchIndex;
            nextPattern = pattern;
          }
        }
      }

      if (nextPattern != null) {
        matchInfo = new MatchInfo(nextPattern, patternToReplacement.get(nextPattern), textIndex);
        return true;
      }
      return false;
    }","None"
"1070","Field","start","None","None"
"1071","Field","textIndex","None","None"
"1072","Field","nextPattern","None","None"
"1073","Field","matchIndex","None","None"
"1074","Class","MatchInfo","MatchInfo","None"
"1075","Field","pattern","None","None"
"1076","Field","replacement","None","None"
"1077","Field","textIndex","None","None"
"1078","Field","pattern","None","None"
"1079","Field","replacement","None","None"
"1080","Field","textIndex","None","None"
"1081","Class","Md5Util","Md5Util","None"
"1082","Field","str","None","None"
"1083","Field","digest","None","None"
"1084","Field","file","None","None"
"1085","Field","digest","None","None"
"1086","Field","src","None","None"
"1087","Field","stringBuilder","None","None"
"1088","Field","v","None","None"
"1089","Field","hv","None","None"
"1090","Method","getMD5Str","public static String getMD5Str(String str) {
        MessageDigest digest;
        try {
            digest = MessageDigest.getInstance(""MD5"");
            digest.update(str.getBytes(StandardCharsets.UTF_8));
        } catch (Exception e) {
            return """";
        }
        return bytesToHexString(digest.digest());
    }","None"
"1091","Field","str","None","None"
"1092","Field","digest","None","None"
"1093","Method","getMD5Str","public static String getMD5Str(File file) {
        if (!file.isFile()) {
            return """";
        }
        MessageDigest digest;
        try {
            digest = MessageDigest.getInstance(""MD5"");
            digest.update(FileUtils.readFileToByteArray(file));
        } catch (Exception e) {
            return """";
        }
        return bytesToHexString(digest.digest());
    }","None"
"1094","Field","file","None","None"
"1095","Field","digest","None","None"
"1096","Method","bytesToHexString","public static String bytesToHexString(byte[] src) {
        if (src.length <= 0) {
            return """";
        }
        StringBuilder stringBuilder = new StringBuilder(src.length);
        for (byte b : src) {
            int v = b & 0xFF;
            String hv = Integer.toHexString(v);
            if (hv.length() < 2) {
                stringBuilder.append(0);
            }
            stringBuilder.append(hv);
        }
        return stringBuilder.toString();
    }","None"
"1097","Field","src","None","None"
"1098","Field","stringBuilder","None","None"
"1099","Field","v","None","None"
"1100","Field","hv","None","None"
"1101","Class","DataInputDelegate","DataInputDelegate","None"
"1102","Field","mDelegate","None","None"
"1103","Field","delegate","None","None"
"1104","Field","n","None","None"
"1105","Field","b","None","None"
"1106","Field","off","None","None"
"1107","Field","len","None","None"
"1108","Field","b","None","None"
"1109","Method","skipBytes","public int skipBytes(int n) throws IOException {
    return mDelegate.skipBytes(n);
  }","None"
"1110","Field","n","None","None"
"1111","Method","readUnsignedShort","public int readUnsignedShort() throws IOException {
    return mDelegate.readUnsignedShort();
  }","None"
"1112","Method","readUnsignedByte","public int readUnsignedByte() throws IOException {
    return mDelegate.readUnsignedByte();
  }","None"
"1113","Method","readUTF","public String readUTF() throws IOException {
    return mDelegate.readUTF();
  }","None"
"1114","Method","readShort","public short readShort() throws IOException {
    return mDelegate.readShort();
  }","None"
"1115","Method","readLong","public long readLong() throws IOException {
    return mDelegate.readLong();
  }","None"
"1116","Method","readLine","public String readLine() throws IOException {
    return mDelegate.readLine();
  }","None"
"1117","Method","readInt","public int readInt() throws IOException {
    return mDelegate.readInt();
  }","None"
"1118","Method","readFully","public void readFully(byte[] b, int off, int len) throws IOException {
    mDelegate.readFully(b, off, len);
  }","None"
"1119","Field","b","None","None"
"1120","Field","off","None","None"
"1121","Field","len","None","None"
"1122","Method","readFully","public void readFully(byte[] b) throws IOException {
    mDelegate.readFully(b);
  }","None"
"1123","Field","b","None","None"
"1124","Method","readFloat","public float readFloat() throws IOException {
    return mDelegate.readFloat();
  }","None"
"1125","Method","readDouble","public double readDouble() throws IOException {
    return mDelegate.readDouble();
  }","None"
"1126","Method","readChar","public char readChar() throws IOException {
    return mDelegate.readChar();
  }","None"
"1127","Method","readByte","public byte readByte() throws IOException {
    return mDelegate.readByte();
  }","None"
"1128","Method","readBoolean","public boolean readBoolean() throws IOException {
    return mDelegate.readBoolean();
  }","None"
"1129","Class","ExtDataInput","ExtDataInput","None"
"1130","Field","in","None","None"
"1131","Field","delegate","None","None"
"1132","Field","length","None","None"
"1133","Field","array","None","None"
"1134","Field","expected","None","None"
"1135","Field","got","None","None"
"1136","Field","expected","None","None"
"1137","Field","possible","None","None"
"1138","Field","got","None","None"
"1139","Field","expected","None","None"
"1140","Field","got","None","None"
"1141","Field","expected","None","None"
"1142","Field","got","None","None"
"1143","Field","length","None","None"
"1144","Field","fixed","None","None"
"1145","Field","string","None","None"
"1146","Field","ch","None","None"
"1147","Method","readIntArray","public int[] readIntArray(int length) throws IOException {
    int[] array = new int[length];
    for (int i = 0; i < length; i++) {
      array[i] = readInt();
    }
    return array;
  }","None"
"1148","Field","length","None","None"
"1149","Field","array","None","None"
"1150","Method","skipInt","public void skipInt() throws IOException {
    skipBytes(4);
  }","None"
"1151","Method","skipCheckInt","public void skipCheckInt(int expected) throws IOException {
    int got = readInt();
    if (got != expected) {
      throw new IOException(String.format(""Expected: 0x%08x, got: 0x%08x"", expected, got));
    }
  }","None"
"1152","Field","expected","None","None"
"1153","Field","got","None","None"
"1154","Method","skipCheckChunkTypeInt","public void skipCheckChunkTypeInt(int expected, int possible) throws IOException {
    int got = readInt();

    if (got == possible) {
      skipCheckChunkTypeInt(expected, -1);
    } else if (got != expected) {
      throw new IOException(String.format(""Expected: 0x%08x, got: 0x%08x"", expected, got));
    }
  }","None"
"1155","Field","expected","None","None"
"1156","Field","possible","None","None"
"1157","Field","got","None","None"
"1158","Method","skipCheckShort","public void skipCheckShort(short expected) throws IOException {
    short got = readShort();
    if (got != expected) {
      throw new IOException(String.format(""Expected: 0x%08x, got: 0x%08x"", expected, got));
    }
  }","None"
"1159","Field","expected","None","None"
"1160","Field","got","None","None"
"1161","Method","skipCheckByte","public void skipCheckByte(byte expected) throws IOException {
    byte got = readByte();
    if (got != expected) {
      throw new IOException(String.format(""Expected: 0x%08x, got: 0x%08x"", expected, got));
    }
  }","None"
"1162","Field","expected","None","None"
"1163","Field","got","None","None"
"1164","Method","readNullEndedString","public String readNullEndedString(int length, boolean fixed) throws IOException {
    StringBuilder string = new StringBuilder(16);
    while (length-- != 0) {
      short ch = readShort();
      if (ch == 0) {
        break;
      }
      string.append((char) ch);
    }
    if (fixed) {
      skipBytes(length * 2);
    }

    return string.toString();
  }","None"
"1165","Field","length","None","None"
"1166","Field","fixed","None","None"
"1167","Field","string","None","None"
"1168","Field","ch","None","None"
"1169","Package","com.tencent.mm.directory","com.tencent.mm.directory","None"
"1170","Class","DirectoryException","DirectoryException","None"
"1171","Field","serialVersionUID","None","None"
"1172","Field","detailMessage","None","None"
"1173","Field","throwable","None","None"
"1174","Field","detailMessage","None","None"
"1175","Field","throwable","None","None"
"1176","Interface","Directory","Directory","None"
"1177","Field","separator","None","None"
"1178","Field","recursive","None","None"
"1179","Field","recursive","None","None"
"1180","Field","path","None","None"
"1181","Field","path","None","None"
"1182","Field","path","None","None"
"1183","Field","path","None","None"
